text	public_metrics	created_at	Google_Translation	@	places	village	district	region
Ciyaal aan dagaal aqoon ayaa dadka neec ula imanaaya https://t.co/hnMgN8Ava3	{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	2022-04-05T23:58:31.000Z	Children who do not know how to fight come to https://t.co/hnMgN8Ava3	[]	[]	[]	[]	[]
@HSNQ_NISA Waa sheeko lagu xalaalsanayo in lagu weerar Raysal wasaaraha waan lamid ku wii hore 1 yariisow 2- Galaal 3- iyo xildhibaanad aamina 4- Ikraan tahliil.	{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	2022-04-05T23:16:14.000Z	@HSNQ_NISA It is a story that justifies attacking the Prime Minister. I am the same as before.	['@HSNQ_NISA']	[]	[]	[]	[]
"These are the names of pro-Farmaajo who intended to disrupt the implementation of parliamentary swearing schedule&amp; recieved final warnings by Roble:
1. Yusuf Abdikheyr Abdinur
2. Abdinasir Mohamed Guled
3. Abdijabbar Abdullahi Farah
4. Ahmed Adan Dagaal
5. Sadiyo Hassan Hussein https://t.co/4BkViyksqb"	{'retweet_count': 9, 'reply_count': 0, 'like_count': 11, 'quote_count': 0}	2022-04-05T22:58:37.000Z	These are the names of pro-Farmaajo who intended to disrupt the implementation of parliamentary swearing schedule &amp;. recieved final warnings by Roble:. 1. Yusuf Abdikheyr Abdinur. 2. Abdinasir Mohamed Guled. 3. Abdijabbar Abdullahi Farah. 4. Ahmed Adan Dagaal. 5. Sadiyo Hassan Hussein https://t.co/4BkViyksqb	[]	[]	[]	[]	[]
"Nuxurka spacekan caawa looga hadlay waxuu ahaa: In dagaal ooge qaatil ah in Barlamanka Somalia uu ka mid noqon karo. Balse in uusan ka mid noqon karin shaqsi eedeysane ah.

Qabyaaladii qarankeeni lagu bur-buriyey oo Twitter space lagu soo bandhigay 2022.

 https://t.co/oCaY31BBn8"	{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}	2022-04-05T22:41:14.000Z	The gist of what was discussed tonight was: That a murderous warlord could be part of the Somali Parliament. But that he cannot be part of the accused individual ... Tribalism destroyed our nation and Twitter space introduced 2022 ... https://t.co/oCaY31BBn8	[]	[]	[]	[]	[]
Xog: RW Rooble oo Qarax Loo Maleegayo! https://t.co/ExsrMwJpgz via @YouTube	{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	2022-04-05T21:52:42.000Z	Source: PM Roble to be bombed! https://t.co/ExsrMwJpgz via @YouTube	['@YouTube']	[]	[]	[]	[]
"DEGDEG:  Gadiid dagaal oo aad u badan ayaa lagu soo daadiyey  Isgoyska Sanca illaa Afar darjiin. Goobjoogayaal aan la hadlay ayaa iisheegay in hub culus lagu arkayo gaadiidka iyo Ciidanka halkaas jooga.

Lama oga cidda ay taabacsan yihiin Ciidankaas iyo ujeedada halkaas loo keen"	{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	2022-04-05T21:47:34.000Z	EMERGENCY: A large number of military vehicles have been dumped at the Sana&#39;a Intersection to Four Gardens. Witnesses I spoke to told me that heavy weapons were seen on vehicles and troops there. It is unknown at this time what he will do after leaving the post	[]	[]	[]	[]	[]
@GaroweOnline @AHGuled @HSNQ_NISA @M_Farmaajo @MohamedHRoble Keenyaay haku daalina in dadkeenu udagaallamaan dagaal isxambaarsigiina eed ku burburineysaan dalkeena. Hadii Amriika iyo Ingiriis daciifeen ee rafashadii ugu danbeysay ku jiraan oo harkii weynaa ee umadeenu wada harsan jirtay dib usoo noqday hadaba iska soo wareejiya muunbaasa https://t.co/sj8hh4iziJ	{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	2022-04-05T21:29:47.000Z	@GaroweOnline @AHGuled @HSNQ_NISA @M_Farmaajo @MohamedHRoble Kenya do not tire of our people fighting for your war and destroying our country. If the US and the UK are weak and in the midst of the last violence and the great shadow of our nation is back then transfer the sample https://t.co/sj8hh4iziJ	['@GaroweOnline', '@AHGuled', '@HSNQ_NISA', '@M_Farmaajo', '@MohamedHRoble']	['Kenya']	[]	[]	[]
Ciidamada Haramcad oo sheegay inay baadi goobayaan oo waliba si dagdag u raadinayaan Maahir Maxamed oo la sheegay inuu weerar kusoo yahay Rooble iyo Farmaajo. https://t.co/4IM1MPWtNn	{'retweet_count': 1, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}	2022-04-05T21:21:24.000Z	Cheetah forces say they are searching for Mahir Mohamed, who is said to be attacking Roble and Farmajo. https://t.co/4IM1MPWtNn	[]	[]	[]	[]	[]
@ha_noolaato @MohamedHRoble @M_Farmaajo Waar nio horta maanad waxba baran dadka aqoonta leh baan ku moodayee qabyaalada iska dhaaf wax cad ma haysid illaa maanta iyo cid dagaal kula jirta raysal wasaaraha siyaasada fahan ama iska daa nio howlahan	{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	2022-04-05T21:17:18.000Z	@ha_noolaato @MohamedHRoble @M_Farmaajo I&#39;m not educated yet, I think educated people.	['@ha_noolaato', '@MohamedHRoble', '@M_Farmaajo']	[]	[]	[]	[]
"DEGDEG:  Gadiid dagaal oo aad u badan ayaa lagu soo daadiyey  Isgoyska Sanca illaa Afar darjiin. Goobjoogayaal aan la hadlay ayaa iisheegay in hub culus lagu arkayo gaadiidka iyo Ciidanka halkaas jooga.

Cali Aadan Muumin"	{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	2022-04-05T20:53:21.000Z	EMERGENCY: A large number of military vehicles have been dumped at the Sana&#39;a Intersection to Four Gardens. Witnesses I spoke to told me that heavy weapons were seen on vehicles and troops there. Ali Adan Mumin	[]	[]	[]	[]	[]
