text	created_at	public_metrics	Google_Translation	@	village	region	district
@SomaliPM Suuqa gubtey waa private business masiibo ma aha public sida abaaro biyo la aan barakacdagaal Deegaan qax ee waa dad private business lahaa. Hadey run ka tahay imisa jeer bey suuqa bakaaro iyo Islii Nairobi gubatey? Ileyn Muuse dal kale baan ahay sida Kenya buu yiri waxbo Madhamo	2022-04-04T09:36:40.000Z	{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}	@SomaliPM The burnt market is a private business. It is not a public disaster. It is like a drought. If true, how many times did the Bakaaro and Eastleigh markets burn in Nairobi? Ileyn Muse I am from another country like Kenya he said nothing Madhamo	['@SomaliPM']	[]	[]	[]
"Soomaliya  waxaa  laga  goynayaa ama lagu ciqaabayaa  dulmiga,xasadka,xiqdiga arxandarada, backup hum bacad.
Umadu  markay ku dhaqanto intaa. 
Illaahay  wuxuu ku salidaa suldaano jaahila,abaaro  xanuuno iyo cidhiidh  risiq, halo too bad keeno Illaahay."	2022-04-04T05:13:07.000Z	{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	Somalia will be cut off or punished by oppression, jealousy, cruelty, back hum. . Allah blesses the sultans with ignorance, famine, affliction and hardship, may Allah bless you.	[]	[]	[]	[]
Waxaa nasiib daro ah in dadkii reer putland aylaliitaan abaaro iyo sixibarar siciid cabdulahi dani intuu sawir kusoo galo emarate in uu dhoho waxaan jogaa halkaas masuuliyadu nocaas miyaa waa suaal	2022-04-03T22:43:06.000Z	{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	It is unfortunate that the people of Puntland are suffering from drought and famine.	[]	[]	['Puntland']	[]
@waalow2 @MohamoudGaildon @SaidAbdullahiDe @PresidentMadobe Bro somalida runta weey kanaxaan. Puntland 3 Airport newly port Garacada. Khakhalayaashan deeganadooda abaaro Iyo al shabaab . ? ( al shabaab  iyo. wx lamid ka aha iyo mafiyo rabaan ineey kunooladan @SaidAbdullahiDe	2022-04-03T01:02:30.000Z	{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	@ waalow2 @MohamoudGaildon @SaidAbdullahiDe @PresidentMadobe Bro somalis are really angry. Puntland 3 Airport newly port Garacada. These troublemakers in their drought-stricken areas and al-Shabaab. ? (al shabaab and. something similar and mafia want to live in @SaidAbdullahiDe	['@waalow2', '@MohamoudGaildon', '@SaidAbdullahiDe', '@PresidentMadobe', '@SaidAbdullahiDe']	[]	['Puntland']	[]
Somalia waxa ay weli la ildaran tahay nabadgelyo-xumo, colaado iyo abaaro soo noqnoqday”isha dyfan https://t.co/YKN9x1ODFF	2022-04-02T19:39:47.000Z	{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	Somalia continues to suffer from insecurity, conflict and recurring droughts ”source dyfan https://t.co/YKN9x1ODFF	[]	[]	[]	[]
Sabti, April, 2, 2022 (HOL) - Suuqa ugu wayn Somaliland ee Waaheen oo ahaa suuqa jaangooya dhaqaalaha Somaliland, ayaa gabi ahaanba gubtay, kadib markii uu dab ka kacay abaaro 8:00 habeenimo ee Jimcaha, dabka ayaan soconaya ilaa barqadan saaka, waxaa burburay hanti u dhiganta https://t.co/C0gRC4fsAj	2022-04-02T18:34:31.000Z	{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}	Saturday, April, 2, 2022 (HOL). - Somaliland&#39;s largest market, Waaheen, which regulates Somaliland&#39;s economy, completely burned down, after a fire broke out at about 8:00 pm on Friday, the fire continued until this morning, and property belonging to https: // t .co / C0gRC4fsAj	[]	[]	[]	[]
@Ismail_kulmiya @Ayatulle Qawdhan the traitor had forgotten about same  sex revolution in Abaaro and their leader COOPER Anderson.	2022-04-02T11:58:29.000Z	{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	@Ismail_kulmiya @Ayatulle Qawdhan the traitor had forgotten about the same sex revolution in Abaaro and their leader COOPER Anderson.	['@Ismail_kulmiya', '@Ayatulle']	[]	[]	[]
"Dabkii abaaro xalay 8:00 pm ka bilaabmay suuqa weyn ee magaalada Hargeysa oo goor dhawayd ciidamada Dab-demisku soo gebagabeeyeen. @SLfireservice 

@SagalAshour @JamaMusse @Gobannimo https://t.co/by2EhGSEmF"	2022-04-02T09:24:40.000Z	{'retweet_count': 1, 'reply_count': 1, 'like_count': 3, 'quote_count': 0}	The fire that started at 8:00 pm last night in the main market of Hargeisa has recently been put out by the fire brigade. @SLfireservice. . @SagalAshour @JamaMusse @Gobannimo https://t.co/by2EhGSEmF	['@SLfireservice', '@SagalAshour', '@JamaMusse', '@Gobannimo']	['Hargeysa']	['Woqooyi Galbeed']	['Hargeysa']
"Alxamdulleh Alxamdulleh, Dabkii xalay abaaro 8:30 fiidnimo bilaabmay, ayaa hadda Ciidanka Damdamisku ku guulaysteen in ay soo afjaraan, dhaman shacabka iyo Dawladba looma kale hadhin.
#HargeisaFire
#PrayForHargeisa"	2022-04-02T09:11:37.000Z	{'retweet_count': 2, 'reply_count': 0, 'like_count': 4, 'quote_count': 0}	Praise be to Allaah. The fire that started last night at about 8:30 pm, has now been extinguished by the Fire Brigade, leaving no one to the people and the government. #HargeisaFire. #PrayForHargeisa	[]	[]	[]	[]
Ilahay ha u gargaaro hargeisa. Suuqa ugu weyn hargeisa ee waaheen oo dab xoogleh qabsadey abaaro fiidkii cawa oo ilaa hadda belbelaya. https://t.co/onA2IKIih3	2022-04-01T19:21:09.000Z	{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	May God help Hargeisa. Hargeisa&#39;s main market, Waaheen, has been hit by a devastating drought since last night. https://t.co/onA2IKIih3	[]	['Hargeysa']	['Woqooyi Galbeed']	['Hargeysa']
