text	public_metrics	created_at	Google_Translation	@	names	places	village	region	district
"Xildhibaanno cusub oo qaatay Shahaadada uu bixinayo guddiga doorashooyinka heer Federaal.
https://t.co/Vu0CPgW5O1"	{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	2022-04-04T10:48:51.000Z	New MPs receive Certificate from the Federal Electoral Commission .. https://t.co/Vu0CPgW5O1	[]	[]	[]	[]	[]	[]
Xarunta guddiga doorashooyinka Heer federaal waxaa Maalintii saddexaad ka socda qaadashada shahaadda xildhibaanada labada gole ee BJFS. https://t.co/4pEJ10xjil	{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	2022-04-04T09:52:39.000Z	At the Federal Electoral Commission headquarters, the BJFS is on its third day. https://t.co/4pEJ10xjil	[]	[]	[]	[]	[]	[]
Gudiga doorashooyinka heer federaal oo maalintii seddexaad ka wada magalada muqdisho bixinta shahaadooyinka https://t.co/J6p4wNhJSG	{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	2022-04-04T09:23:56.000Z	Federal Electoral Commission launches certificates in Mogadishu for third day https://t.co/J6p4wNhJSG	[]	[]	['Mogadishu']	['Mogadishu']	['Banadir']	['Banadir']
"RT @GoobjoogNews: Guddiga hirgelinta doorashooyinka FEIT ayaa maalintii saddexaad wada bixinta shahaadooyinka xildhibaanada labada aqal.

1…"	{'retweet_count': 2, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	2022-04-04T08:46:34.000Z	RT @GoobjoogNews: The FEIT Election Implementation Committee has on the third day handed over the certificates of the members of both houses of parliament. 1…	['@GoobjoogNews:']	[]	[]	[]	[]	[]
"Guddiga hirgelinta doorashooyinka FEIT ayaa maalintii saddexaad wada bixinta shahaadooyinka xildhibaanada labada aqal.

1. Ibrahim Awgab Osman AS#06
2. Hassan Idow Mohamed AS#22
3. Nor Mohamed Gedi AS#10

ayaa saaka qaatay shahaadooyinkooda  xildhibaannimada aqalka sare. https://t.co/whHL1Nt8xL"	{'retweet_count': 2, 'reply_count': 1, 'like_count': 6, 'quote_count': 0}	2022-04-04T08:38:01.000Z	The FEIT Election Implementation Committee (PEIT) has on the third day handed over the certificates to members of both houses of parliament. 1. Ibrahim Awgab Osman AS # 06. 2. Hassan Idow Mohamed AS # 22. 3. Nor Mohamed Gedi AS # 10. . received their diplomas in the upper house this morning. https://t.co/whHL1Nt8xL	[]	['Ibrahim Awgab', 'Hassan Idow', 'Mohamed Gedi']	[]	[]	[]	[]
Guddiga hirgelinta doorashooyinka SEIT ee Hirshabeelle ayaa shaaciyay odayaasha dhaqanka kursiga HOP#039, kaas oo doorashadiisa maanta lagu qabanayo magaalada Jowhar. https://t.co/Hi9NI5K7gh	{'retweet_count': 2, 'reply_count': 1, 'like_count': 6, 'quote_count': 0}	2022-04-04T04:13:19.000Z	The SEIT Electoral Commission in Hirshabelle has announced the traditional elders for the HOP # 039 seat, which will be held in Jowhar today. https://t.co/Hi9NI5K7gh	[]	[]	['Hirshabelle', 'Jowhar']	['Jowhar']	['Middle Shabelle']	['Jowhar']
@HShPrez2Ware @UNSomalia Nin aan wax xil ah aan heyn siduu xoghaye intu ula kulmo uu kala hadli karaa arimaha doorashooyinka?	{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	2022-04-03T23:13:48.000Z	@ HShPrez2Ware @UNSomalia A man who has no position can meet with a secretary to discuss election issues?	['@HShPrez2Ware', '@UNSomalia']	[]	[]	[]	[]	[]
RT @GoobjoogNews: Guddiga doorashooyinka FEIT ayaa maalintii labaad ee shahaado bixinta cadeeyay in ay shahaadooyinkoodii ay siiyeen 58 mud…	{'retweet_count': 6, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	2022-04-03T21:58:42.000Z	RT @GoobjoogNews: The FEIT Election Commission announced on the second day of the certification process that they have given their certificates 58…	['@GoobjoogNews:']	[]	[]	[]	[]	[]
RT @GoobjoogNews: Guddiga doorashooyinka FEIT ayaa maalintii labaad ee shahaado bixinta cadeeyay in ay shahaadooyinkoodii ay siiyeen 58 mud…	{'retweet_count': 6, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	2022-04-03T19:40:23.000Z	RT @GoobjoogNews: The FEIT Election Commission announced on the second day of the certification process that they have given their certificates 58…	['@GoobjoogNews:']	[]	[]	[]	[]	[]
RT @GoobjoogNews: Guddiga doorashooyinka FEIT ayaa maalintii labaad ee shahaado bixinta cadeeyay in ay shahaadooyinkoodii ay siiyeen 58 mud…	{'retweet_count': 6, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	2022-04-03T19:20:16.000Z	RT @GoobjoogNews: The FEIT Election Commission announced on the second day of the certification process that they have given their certificates 58…	['@GoobjoogNews:']	[]	[]	[]	[]	[]
RT @GoobjoogNews: Guddiga doorashooyinka FEIT ayaa maalintii labaad ee shahaado bixinta cadeeyay in ay shahaadooyinkoodii ay siiyeen 58 mud…	{'retweet_count': 6, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	2022-04-03T18:32:55.000Z	RT @GoobjoogNews: The FEIT Election Commission announced on the second day of the certification process that they have given their certificates 58…	['@GoobjoogNews:']	[]	[]	[]	[]	[]
"Guddiga doorashooyinka FEIT ayaa maalintii labaad ee shahaado bixinta cadeeyay in ay shahaadooyinkoodii ay siiyeen 58 mudane oo ka tirsan labada aqal ee baarlamaanka, xilli shalay oo la bilaabay bixinta shahaadooyinka la siiyay 54 xildhibaan.
taas oo wadarta guud ka dhigaysa 112. https://t.co/6I9jIE6SHH"	{'retweet_count': 6, 'reply_count': 3, 'like_count': 19, 'quote_count': 0}	2022-04-03T18:29:07.000Z	On the second day of the certification process, the FEIT Electoral Commission announced that it had received certificates from 58 members of both houses of parliament, while the issuance of certificates began yesterday to 54 members, bringing the total to 112. https: // t.co/6I9jIE6SHH	[]	[]	[]	[]	[]	[]
"Guddiga Doorashooyinka Heer Federaal oo ka warbixiyay Shahaado siinta Xildhibaanada
https://t.co/JlPCY2Z6M9 https://t.co/3wCZMSUEJY"	{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	2022-04-03T16:42:08.000Z	Federal Electoral Commission reports on Certification of MPs. https://t.co/JlPCY2Z6M9 https://t.co/3wCZMSUEJY	[]	[]	[]	[]	[]	[]
Xarunta Muqdisho ee Guddiga Hirgelinta Doorashooyinka Heer Federaal (FEIT) waxaa si habsi maleh ugu socoto maalintii 2-aad Shahaado siinta Xildhibaanada labada gole ee dhawaan la doortay. https://t.co/4LLMNMPqFo	{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	2022-04-03T15:12:03.000Z	Mogadishu headquarters of the Federal Election Implementation Committee (FEIT). The second day of the certification of the members of the two newly elected councils is well underway. https://t.co/4LLMNMPqFo	[]	[]	[]	['Mogadishu']	['Banadir']	['Banadir']
waa marqaati nool oo cadeynaya xil. Cabdicasiis Laftagareen oo u dabaaldegaya shahaadadii Xildhibaanimo ee baarlamaamkii 10aad, isaga oo ka guddoomaya mudane Siciid Jamac Qoorsheel oo markaas ahaa xubin ka mid ah guddigii doorashooyinka ee FEIT ee 2016-kii. https://t.co/C0YPy2Qlbx	{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	2022-04-03T15:02:19.000Z	he is a living witness to a duty. Abdiaziz Laftagareen celebrates his 10th term as a Member of Parliament, presided over by Said Jama Qorsheel, then a member of the 2016 FEIT Electoral Commission. https://t.co/C0YPy2Qlbx	[]	['Abdiaziz Laftagareen', 'Said Jama Qorsheel', 'Jama Qorsheel']	[]	[]	[]	[]
Gudoomiyaha Guddiga Doorashooyinka heer Federaal ee Soomaaliya ayaa war ka soo saaray Xildhibaanada https://t.co/zDcIQFeg5y	{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	2022-04-03T14:13:11.000Z	The Chairman of the Federal Electoral Commission of Somalia issued a statement to the MPs https://t.co/zDcIQFeg5y	[]	[]	[]	[]	[]	[]
Talaabooyinka ay qaadeen gudiga doorashooyinka heer Federal maal-mihii ina soo dhaafay waxay u muuqaataa mid loogu gurmanaayo dowlad nimada waana mid waa faqsan sharciyad masuliyedeed ka gudiga oo ah howshii loo igmaday inay ka soo baxaan oo ayna cidna kaga amar qaadan shaqodooda	{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	2022-04-03T13:30:00.000Z	The steps taken by the Federal Electoral Commission (FEC) over the past few days appear to be in defense of the state and are in line with the commission&#39;s mandate to carry out its mandate without overseeing its work.	[]	[]	[]	[]	[]	[]
RT @GuledHusseinAli: waa marqaati nool oo cadeynaya xil. Cabdicasiis Laftagareen oo u dabaaldegaya faraxada qaadashada shahaadadii Xildhiba…	{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	2022-04-03T13:04:54.000Z	RT @GuledHusseinAli: is a living witness to a position. Abdiaziz Laftagareen celebrates the joy of receiving his MP…	['@GuledHusseinAli:']	['Abdiaziz Laftagareen']	[]	[]	[]	[]
RT @GoobjoogNews: Guddiga doorashooyinka heer Federaal ee FEIT ayaa maalinkii labaad magaalada Muqdisho ka wado bixinta shahaadooyinka xild…	{'retweet_count': 3, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	2022-04-03T12:33:57.000Z	RT @GoobjoogNews: The Federal Electoral Commission (FEIT) is in Mogadishu for the second day in a row bixinta	['@GoobjoogNews:']	[]	['Mogadishu']	['Mogadishu']	['Banadir']	['Banadir']
"Guddiga doorashooyinka Heer federaal,ayaa   maalintii 2-aad wada bixinta shahaadada xildhibaanimo si habsami leh.

Maanta,waxaa qaatay Xildhibaano laga soo doortay maamulka KGS oo kalsoonidii kala laabtay Gudiga Doorashooyinka heer Fadaraal. https://t.co/jRxjgldiVa"	{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	2022-04-03T11:37:52.000Z	The Federal Electoral Commission (FEC) on the 2nd day of the issuance of the parliamentary certificates in an orderly manner ... Today, it was adopted by MPs from the KGS administration who lost confidence in the Federal Electoral Commission. https://t.co/jRxjgldiVa	[]	[]	[]	[]	[]	[]
RT @SaadaqMohamed: Ra’iisul Wasaaraha XFS Maxamed Xuseen Rooble oo ayaa hambalyo u diray Guddiga Doorashooyinka Heer Federaal (FEIT) iyo gu…	{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	2022-04-03T11:19:19.000Z	RT @SaadaqMohamed: FGS Prime Minister Mohamed Hussein Roble congratulates the Federal Electoral Commission (FEIT). and gu…	['@SaadaqMohamed:']	['Mohamed Hussein']	[]	[]	[]	[]
