NAME,ALT_NAME1,ALT_NAME2,SOURCE,DEFINITION,REG_NAME,DIST_NAME,RELIABILITY,X_COORD,Y_COORD,P_CODE
Afcagaag,,,OCHA - 2011,Settlement,Galgaduud,Dhuusamarreeb,Verified,"46,115672","5,152449",NB-3811-W25-001
Dhagaxyale,,,OCHA - 2011,Settlement,Galgaduud,Dhuusamarreeb,Verified,"45,98744","4,874437",NB-3815-C22-001
Shalaqben,,,OCHA - 2011,Settlement,Galgaduud,Dhuusamarreeb,Verified,"45,765","5,26156",NB-3811-T17-002
Herale MCH,,,OCHA - 2011,Settlement,Galgaduud,Cabudwaaq,Verified,"45,96333","6,02351",NB-3807-Z22-002
Ba'adwein,,,OCHA - 2011,Settlement,Mudug,Gaalkacyo,Verified,"47,52673","7,19168",NB-3804-V23-002
Gaalkacyo/Garsoor 5,,,OCHA - 2011,Settlement,Mudug,Gaalkacyo,Verified,"47,413304","6,7874",NB-3808-F21-031
Gaalkacyo/Israac 5,,,OCHA - 2011,Settlement,Mudug,Gaalkacyo,Verified,"47,423932","6,789857",NB-3808-F21-030
Gaalkacyo/Garsoor 4,,,OCHA - 2011,Settlement,Mudug,Gaalkacyo,Verified,"47,41594","6,778202",NB-3808-F21-029
Gaalkacyo/Israac 4,,,OCHA - 2011,Settlement,Mudug,Gaalkacyo,Verified,"47,424182","6,782953",NB-3808-F21-028
Gaalkacyo/Israac 3,,,OCHA - 2011,Settlement,Mudug,Gaalkacyo,Verified,"47,430156","6,779101",NB-3808-F21-027
Gaalkacyo/Israac 1,,,OCHA - 2011,Settlement,Mudug,Gaalkacyo,Verified,"47,436126","6,774621",NB-3808-F21-026
Gaalkacyo/Israac 3,,,OCHA - 2011,Settlement,Mudug,Gaalkacyo,Verified,"47,430069","6,773168",NB-3808-F21-032
Gaalkacyo/Hormar 1,,,OCHA - 2011,Settlement,Mudug,Gaalkacyo,Verified,"47,431416","6,76874",NB-3808-F21-025
Gaalkacyo/Hormar 2,,,OCHA - 2011,Settlement,Mudug,Gaalkacyo,Verified,"47,436952","6,768769",NB-3808-F21-024
Gaalkacyo/Hormar 3,,,OCHA - 2011,Settlement,Mudug,Gaalkacyo,Verified,"47,431399","6,765203",NB-3808-F21-023
Gaalkacyo/Wadajir 1 and 2,,,OCHA - 2011,Settlement,Mudug,Gaalkacyo,Verified,"47,431597","6,759212",NB-3808-F21-022
Gaalkacyo/Garsoor 1,,,OCHA - 2011,Settlement,Mudug,Gaalkacyo,Verified,"47,425224","6,763009",NB-3808-F21-021
Gaalkacyo/Garsoor 2,,,OCHA - 2011,Settlement,Mudug,Gaalkacyo,Verified,"47,423028","6,768896",NB-3808-F21-020
Gaalkacyo/Garsoor 3,,,OCHA - 2011,Settlement,Mudug,Gaalkacyo,Verified,"47,419454","6,773193",NB-3808-F21-019
Galcom,,,OCHA - 2011,Settlement,Mudug,Gaalkacyo,Verified,"47,430611","6,76924",NB-3808-F21-015
Garsor Branch 1,,,OCHA - 2011,Settlement,Mudug,Gaalkacyo,Verified,"47,427875","6,766228",NB-3808-F21-013
Garsor Branch 2,,,OCHA - 2011,Settlement,Mudug,Gaalkacyo,Verified,"47,417517","6,766947",NB-3808-F21-012
Garsor Branch 3,,,OCHA - 2011,Settlement,Mudug,Gaalkacyo,Verified,"47,413778","6,771411",NB-3808-F21-011
